Number,Race,Race Grouping,Gender,Age,In Custody/Community,Supervision Type,Jurisdiction,Sentence Type,Aggregate Sentence Length,Institutional Security Level,Province,Location Type,Offender Security Level,Dynamic/Need,Static/Risk,Reintegration Potential,Motivation,Major Offence Group,Religion
B1,WHITE,Non Aboriginal,MALE,40,Community,FP,FEDERAL,DETERMINATE,912,,PRINCE EDWARD I,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,OTHER CRIM.CODE,CATHOLIC - ROMA
B2,EURO.-WESTERN,Non Aboriginal,MALE,57,Community,SR,FEDERAL,DETERMINATE,6338,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,MEDIUM,MEDIUM,HIGH,TRAF/IMP. DRUGS,CATH NON-SPEC
B3,WHITE,Non Aboriginal,MALE,66,Community,SR,FEDERAL,DETERMINATE,1826,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,HIGH,SEXUAL ABUSE,CATHOLIC - ROMA
B4,WHITE,Non Aboriginal,MALE,23,Community,DP,FEDERAL,DETERMINATE,730,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,TRAF/IMP. DRUGS,NONE
B5,WHITE,Non Aboriginal,MALE,34,Community,FP,FEDERAL,DETERMINATE,913,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,ANGLICAN(EPIS.
B6,WHITE,Non Aboriginal,FEMALE,80,Community,FP,FEDERAL,INDETERMINATE,0,,BRITISH COLUMBI,PAROLE SUB-OFFI,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,JUDAISM
B7,WHITE,Non Aboriginal,MALE,46,Community,FP,FEDERAL,INDETERMINATE,0,,BRITISH COLUMBI,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
B8,NORTH AMERICAN,Aboriginal,MALE,47,Community,SR,FEDERAL,DETERMINATE,1096,,MANITOBA,PAROLE OFFICE,MINIMUM,MEDIUM,HIGH,MEDIUM,MEDIUM,SEXUAL ASSAULT,UNITED CHURCH
B9,WHITE,Non Aboriginal,MALE,36,Community,DP,FEDERAL,DETERMINATE,1042,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,CATH NON-SPEC
B10,NORTH AMERICAN,Aboriginal,MALE,33,Community,SR,FEDERAL,DETERMINATE,2922,,ALBERTA,PAROLE OFFICE,MAXIMUM,HIGH,HIGH,LOW,LOW,ROBBERY,CATH NON-SPEC
B11,WHITE,Non Aboriginal,MALE,41,Community,SR,FEDERAL,DETERMINATE,2557,,QUEBEC,PAROLE OFFICE,MEDIUM,HIGH,HIGH,LOW,MEDIUM,BREAK AND ENTER,CATH NON-SPEC
B12,WHITE,Non Aboriginal,MALE,43,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HOMIC & RELATED,OTHER
B13,WHITE,Non Aboriginal,MALE,35,Community,FP,FEDERAL,DETERMINATE,972,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,MEDIUM,HIGH,HIGH,CRIM CODE TRAFF,CATH NON-SPEC
B14,WHITE,Non Aboriginal,MALE,56,Community,SR,FEDERAL,DETERMINATE,8085,,QUEBEC,PAROLE OFFICE,MEDIUM,HIGH,HIGH,MEDIUM,LOW,TRAF/IMP. DRUGS,HINDU
B15,WHITE,Non Aboriginal,MALE,46,Community,SR,FEDERAL,DETERMINATE,730,,NEW BRUNSWICK,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,MORALS-SEXUAL,PROT NON-SPEC
B16,WHITE,Non Aboriginal,FEMALE,58,Community,FP,FEDERAL,DETERMINATE,2192,,NOVA SCOTIA,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,IMPAIR. DRIVING,UNITED CHURCH
B17,WHITE,Non Aboriginal,MALE,28,Community,FP,FEDERAL,DETERMINATE,1827,,NEW BRUNSWICK,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,BAPTIST
B18,WHITE,Non Aboriginal,MALE,28,Community,SR,FEDERAL,DETERMINATE,1461,,NOVA SCOTIA,PAROLE OFFICE,MAXIMUM,HIGH,MEDIUM,LOW,LOW,TRAF/IMP. DRUGS,NOT STATED
B19,WHITE,Non Aboriginal,MALE,46,Community,SR,FEDERAL,DETERMINATE,731,,NFLD AND LAB,PAROLE OFFICE,MEDIUM,HIGH,HIGH,LOW,MEDIUM,POS.STOLEN PROP,CATHOLIC - ROMA
B20,WHITE,Non Aboriginal,MALE,29,Community,FP,FEDERAL,DETERMINATE,1370,,NOVA SCOTIA,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,ROBBERY,CATHOLIC - ROMA
B21,WHITE,Non Aboriginal,MALE,59,Community,DP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HOMIC & RELATED,UNITED CHURCH
B22,WHITE,Non Aboriginal,MALE,50,Community,SR,FEDERAL,DETERMINATE,1211,,ONTARIO,PAROLE OFFICE,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,KIDNAPPING,CHRI NON SPEC
B23,WHITE,Non Aboriginal,MALE,50,Community,DP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HOMIC & RELATED,PROT NON-SPEC
B24,S. E. ASIAN,Non Aboriginal,MALE,56,Community,DP,FEDERAL,DETERMINATE,730,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,MEDIUM,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,BUDDHIST
B25,LATIN AMERICAN,Non Aboriginal,MALE,27,Community,DP,PROVINCIAL,DETERMINATE,729,,BRITISH COLUMBI,PAROLE OFFICE,,MEDIUM,LOW,HIGH,HIGH,KIDNAPPING,
B26,WHITE,Non Aboriginal,MALE,29,Community,FP,FEDERAL,DETERMINATE,2374,,BRITISH COLUMBI,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,HIGH,TRAF/IMP. DRUGS,CATH NON-SPEC
B27,S. E. ASIAN,Non Aboriginal,MALE,42,Community,FP,FEDERAL,DETERMINATE,2191,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,LOW,LOW,HIGH,HIGH,POS.STOLEN PROP,BUDDHIST
B28,WHITE,Non Aboriginal,MALE,26,Community,SR,FEDERAL,DETERMINATE,2922,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HOMIC & RELATED,NONE
B29,WHITE,Non Aboriginal,MALE,49,Community,SR,FEDERAL,DETERMINATE,2434,,BRITISH COLUMBI,COMMUNITY CORRE,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,HOMIC & RELATED,CATH NON-SPEC
B30,BLACK,Non Aboriginal,MALE,32,Community,SR,FEDERAL,DETERMINATE,1426,,ALBERTA,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,WEAPON & EXPLOS,NONE
B31,S. E. ASIAN,Non Aboriginal,MALE,40,Community,FP,FEDERAL,DETERMINATE,1826,,ALBERTA,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,ROBBERY,BUDDHIST
B32,WHITE,Non Aboriginal,MALE,25,Community,SR,FEDERAL,DETERMINATE,1216,,ALBERTA,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,TRAF/IMP. DRUGS,NOT STATED
B33,WHITE,Non Aboriginal,MALE,30,Community,FP,FEDERAL,DETERMINATE,730,,ALBERTA,PAROLE SUB-OFFI,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,NONE
